City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Mahon,ES,53.6,clear sky,39.8885,4.2658,ARTIEM Capri
386,Ilhabela,BR,70.77,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
391,Ngunguru,NZ,66.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
393,Cap Malheureux,MU,82.99,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
395,Presidencia Roque Saenz Pena,AR,69.01,clear sky,-26.7852,-60.4388,Hotel Gualok
397,Zahesi,GE,60.8,clear sky,41.8246,44.7536,"""Sanapiro"""
398,Hobyo,SO,84.54,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
399,Xuddur,SO,78.53,light rain,4.1213,43.8894,Banjanay Hotel
400,Irece,BR,69.46,overcast clouds,-11.3042,-41.8558,RADAR INN HOTEL
401,Serta,PT,55.99,overcast clouds,39.8085,-8.0988,Hotel LarVerde
403,Kaeo,NZ,66.0,broken clouds,-35.1,173.7833,Bushido Lodge
404,Marataizes,BR,71.55,scattered clouds,-21.0433,-40.8244,Ed. Barra Shopping
406,Aksay,RU,50.0,scattered clouds,47.26,39.87,Chernaya Zhemchuzhina
407,Lorengau,PG,84.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
412,Lakatoro,VU,83.59,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
413,Old Saybrook,US,50.0,broken clouds,41.2918,-72.3762,Saybrook Point Resort & Marina - Luxury Connecticut Oceanside Hotel
414,San Isidro,PE,68.0,clear sky,-12.1167,-77.05,Soul Mate-Inn
417,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
418,Kochubey,RU,58.59,overcast clouds,44.3861,46.5825,Europe
421,Ahuimanu,US,78.8,few clouds,21.4447,-157.8378,Paradise Bay Resort
423,Erzin,TR,72.0,overcast clouds,36.9559,36.2,Artemis Otel
426,Buala,SB,84.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
427,Hualmay,PE,67.03,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
429,Peniche,PT,55.0,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
430,Hamilton,US,50.0,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
432,Port Hardy,CA,51.8,few clouds,50.6996,-127.4199,Airport Inn
433,La Asuncion,VE,77.14,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
434,West Wendover,US,53.6,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
435,Havelock,US,59.0,clear sky,34.8791,-76.9013,Sherwood Motel
438,Akoupe,CI,73.56,overcast clouds,6.39,-3.9003,Hotel le Pavillon
